car_owner;propert_owner;children;type_income;education;marital_status;housing_type;employed_days;mobile_phone;work_phone;phone;email_id;family_members;target
Y;Y;0;Pensioner;Higher education;Married;House / apartment;365243;1;0;0;0;2;1
Y;N;0;Commercial associate;Higher education;Married;House / apartment;-586;1;1;1;0;2;1
Y;N;0;Commercial associate;Higher education;Married;House / apartment;-586;1;1;1;0;2;1
Y;N;0;Commercial associate;Higher education;Married;House / apartment;-586;1;1;1;0;2;1
Y;N;0;Pensioner;Higher education;Married;House / apartment;-586;1;1;1;0;2;1
N;N;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;1
Y;Y;1;Commercial associate;Secondary / secondary special;Married;House / apartment;-678;1;0;1;1;3;1
Y;Y;1;Pensioner;Secondary / secondary special;Married;House / apartment;-678;1;0;1;1;3;1
Y;Y;1;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-678;1;0;1;1;1;1
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1002;1;1;1;0;2;1
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1002;1;1;1;0;2;1
N;N;1;Pensioner;Higher education;Married;With parents;-913;1;0;0;1;3;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-248;1;0;0;0;2;1
N;Y;0;Working;Secondary / secondary special;Single / not married;House / apartment;-248;1;0;0;0;2;1
N;Y;0;Commercial associate;Higher education;Single / not married;House / apartment;-2470;1;0;0;0;1;1
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;-1644;1;0;0;1;2;1
N;N;0;Working;Higher education;Single / not married;House / apartment;-4327;1;0;0;0;1;1
Y;Y;0;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;-1674;1;0;0;1;2;1
N;Y;0;Commercial associate;Higher education;Civil marriage;House / apartment;-1086;1;0;0;0;2;1
N;Y;2;Commercial associate;Secondary / secondary special;Married;House / apartment;-925;1;0;0;0;4;1
N;Y;0;Working;Higher education;Married;House / apartment;-854;1;0;0;0;2;1
Y;Y;0;Commercial associate;Higher education;Married;House / apartment;-185;1;0;1;0;2;1
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;1;0;2;1
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;1;0;2;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-3350;1;0;0;0;2;1
N;N;0;Commercial associate;Higher education;Married;House / apartment;-691;1;0;0;0;2;1
